Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST,SEXE
2021,1,el Raval,1053,1,1
2021,1,el Raval,1413,1,2
2021,1,el Raval,164,2,1
2021,1,el Raval,419,2,2
2021,1,el Raval,55,3,1
2021,1,el Raval,64,3,2
2021,1,el Raval,88,4,1
2021,1,el Raval,75,4,2
2021,1,el Raval,48,5,1
2021,1,el Raval,67,5,2
2021,1,el Raval,56,6,1
2021,1,el Raval,52,6,2
2021,1,el Raval,51,7,1
2021,1,el Raval,63,7,2
2021,1,el Raval,66,8,1
2021,1,el Raval,88,8,2
2021,1,el Raval,91,9,1
2021,1,el Raval,103,9,2
2021,1,el Raval,210,10,1
2021,1,el Raval,187,10,2
2021,1,el Raval,223,11,1
2021,1,el Raval,208,11,2
2021,1,el Raval,7,12,1
2021,1,el Raval,..,12,2
2021,1,el Raval,30,13,1
2021,1,el Raval,33,13,2
2021,1,el Raval,16,14,1
2021,1,el Raval,22,14,2
2021,1,el Raval,16,15,1
2021,1,el Raval,17,15,2
2021,1,el Raval,18,16,1
2021,1,el Raval,11,16,2
2021,1,el Raval,19,17,1
2021,1,el Raval,18,17,2
2021,1,el Raval,60,18,1
2021,1,el Raval,58,18,2
2021,1,el Raval,24,19,1
2021,1,el Raval,25,19,2
2021,1,el Raval,5,20,1
2021,1,el Raval,12,20,2
2021,1,el Raval,..,21,1
2021,1,el Raval,..,22,1
2021,1,el Raval,..,22,2
2021,1,el Raval,13,23,1
2021,1,el Raval,5,23,2
2021,1,el Raval,..,24,1
2021,1,el Raval,..,24,2
2021,1,el Raval,14,25,1
2021,1,el Raval,6,25,2
2021,1,el Raval,15,26,1
2021,1,el Raval,14,26,2
2021,1,el Raval,12,27,1
2021,1,el Raval,10,27,2
2021,1,el Raval,13,28,1
2021,1,el Raval,11,28,2
2021,1,el Raval,9,29,1
2021,1,el Raval,5,29,2
2021,1,el Raval,5,30,1
2021,1,el Raval,6,30,2
2021,1,el Raval,68,31,1
2021,1,el Raval,71,31,2
2021,1,el Raval,29,32,1
2021,1,el Raval,23,32,2
2021,1,el Raval,13,33,1
2021,1,el Raval,13,33,2
2021,1,el Raval,9,34,1
2021,1,el Raval,7,34,2
2021,1,el Raval,29,35,1
2021,1,el Raval,33,35,2
2021,1,el Raval,..,36,1
2021,1,el Raval,..,36,2
2021,1,el Raval,17,37,1
2021,1,el Raval,15,37,2
2021,1,el Raval,5,38,1
2021,1,el Raval,9,38,2
2021,1,el Raval,..,39,1
2021,1,el Raval,9,39,2
2021,1,el Raval,..,40,1
2021,1,el Raval,..,40,2
2021,1,el Raval,..,41,1
2021,1,el Raval,..,42,1
2021,1,el Raval,..,42,2
2021,1,el Raval,18,43,1
2021,1,el Raval,15,43,2
2021,1,el Raval,9,44,1
2021,1,el Raval,10,44,2
2021,1,el Raval,10,45,1
2021,1,el Raval,13,45,2
2021,1,el Raval,..,46,1
2021,1,el Raval,10,46,2
2021,1,el Raval,..,47,1
2021,1,el Raval,5,48,1
2021,1,el Raval,5,48,2
2021,1,el Raval,..,49,1
2021,1,el Raval,..,49,2
2021,1,el Raval,9,50,1
2021,1,el Raval,10,50,2
2021,1,el Raval,5,51,1
2021,1,el Raval,7,51,2
2021,1,el Raval,5,52,1
2021,1,el Raval,7,52,2
2021,1,el Raval,..,53,2
2021,1,el Raval,..,54,1
2021,1,el Raval,..,55,1
2021,1,el Raval,6,55,2
2021,1,el Raval,..,56,1
2021,1,el Raval,..,56,2
2021,1,el Raval,6,57,1
2021,1,el Raval,13,57,2
2021,1,el Raval,8,59,1
2021,1,el Raval,15,59,2
2021,1,el Raval,16,60,1
2021,1,el Raval,17,60,2
2021,1,el Raval,13,61,1
2021,1,el Raval,12,61,2
2021,1,el Raval,5,62,1
2021,1,el Raval,8,62,2
2021,1,el Raval,13,63,1
2021,1,el Raval,15,63,2
2021,1,el Raval,45,64,1
2021,1,el Raval,52,64,2
2021,1,el Raval,13,65,1
2021,1,el Raval,19,65,2
2021,1,el Raval,24,66,1
2021,1,el Raval,25,66,2
2021,1,el Raval,8,67,1
2021,1,el Raval,9,67,2
2021,1,el Raval,25,68,1
2021,1,el Raval,45,68,2
2021,1,el Raval,..,69,1
2021,1,el Raval,7,69,2
2021,1,el Raval,29,70,1
2021,1,el Raval,41,70,2
2021,1,el Raval,12,71,1
2021,1,el Raval,14,71,2
2021,1,el Raval,8,72,1
2021,1,el Raval,13,72,2
2021,1,el Raval,22,73,1
2021,1,el Raval,23,73,2
2021,2,el Barri Gòtic,181,1,1
2021,2,el Barri Gòtic,261,1,2
2021,2,el Barri Gòtic,180,2,1
2021,2,el Barri Gòtic,221,2,2
2021,2,el Barri Gòtic,33,3,1
2021,2,el Barri Gòtic,36,3,2
2021,2,el Barri Gòtic,102,4,1
2021,2,el Barri Gòtic,104,4,2
2021,2,el Barri Gòtic,36,5,1
2021,2,el Barri Gòtic,32,5,2
2021,2,el Barri Gòtic,35,6,1
2021,2,el Barri Gòtic,42,6,2
2021,2,el Barri Gòtic,65,7,1
2021,2,el Barri Gòtic,51,7,2
2021,2,el Barri Gòtic,43,8,1
2021,2,el Barri Gòtic,38,8,2
2021,2,el Barri Gòtic,27,9,1
2021,2,el Barri Gòtic,26,9,2
2021,2,el Barri Gòtic,38,10,1
2021,2,el Barri Gòtic,37,10,2
2021,2,el Barri Gòtic,54,11,1
2021,2,el Barri Gòtic,72,11,2
2021,2,el Barri Gòtic,..,12,1
2021,2,el Barri Gòtic,..,12,2
