N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2013-0753,1,CIUTAT VELLA,1,el Raval,Carrer,HOSPITAL,1,25,,,,,,,1,2,HUTB-000715,9,2.1711251690070341,41.379034724837283
02-2014-0566,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,1,51,,53,,,,,EN,1,HUTB-010412,7,2.1731132557643407,41.406594539863299
02-2014-0207,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Plaça,TETUAN,1,33,,,,,,,SA,2,HUTB-008754,4,2.1749583313167165,41.393787809267451
01-2014-0073,1,CIUTAT VELLA,1,el Raval,Carrer,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,HUTB-013228,4,2.1707878687384023,41.377597756299629
02-2014-1125,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,682,,,,,,,2,1,HUTB-011029,8,2.1719544309261289,41.390836125863856
02-2014-0241,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ENRIC GRANADOS,1,125,,,,,,,2,1,HUTB-008826,5,2.1534796974766302,41.39170841253241
02-2014-0227,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,1,,HUTB-008655,5,2.1593592475201531,41.37360076453723
02-2014-0228,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,AT,,HUTB-008656,2,2.1593592475201531,41.37360076453723
02-2013-0972,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,37,,,,,,,EN,4,HUTB-006257,7,2.1622677587607653,41.374812176431092
02-2013-0975,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,3,,,,,,,5,2,HUTB-006316,5,2.168168546282998,41.386369432166155
06-2013-0312,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,BJ,,HUTB-006302,8,2.1563272608725841,41.4055465360859
06-2013-0313,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,1,1,HUTB-006304,4,2.1563272608725841,41.4055465360859
06-2013-0315,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,2,1,HUTB-006303,4,2.1563272608725841,41.4055465360859
